,id,resolution,release_year,interaction_type,-log(kd/ki),binding_type,binding_affinity
3906,2r03,2.59,2007,protein-ligand,,kd,11.86960040890896
3907,2ipo,2.6,2007,protein-ligand,,kd,11.640758836480114
3908,2v88,2.0,2007,protein-ligand,4.09,kd,9.40757254150589
3909,2clh,1.7,2007,protein-ligand,4.06,kd,9.342729560021928
3910,2clo,1.5,2007,protein-ligand,,kd,9.342729560021928
3911,2r02,2.6,2007,protein-ligand,,kd,11.736069016284437
3912,2jmj,,2007,protein-ligand,,kd,11.60723614444147
3913,2ohl,2.65,2007,protein-ligand,,kd,7.013115794639964
3914,2rm0,,2007,protein-ligand,,kd,9.27221577569427
3915,2e94,2.18,2007,protein-ligand,8.0,ki,18.420680743952367
3916,2i2c,1.85,2007,protein-ligand,4.7,ki,10.819778284410283
3917,2ftd,2.55,2007,protein-ligand,,ki,23.917449049224242
3918,2o4j,1.74,2007,protein-ligand,10.1,ki,23.248994481254666
3919,2p16,2.3,2007,protein-ligand,10.1,ki,23.248994481254666
3920,2e95,2.2,2007,protein-ligand,,ki,16.34123920227253
3921,2uvm,1.94,2007,protein-ligand,,ki,16.34123920227253
3922,3bgp,2.8,2007,protein-ligand,,ki,16.212406330429562
3923,2e93,2.12,2007,protein-ligand,,ki,16.022785471153995
3924,2e92,2.31,2007,protein-ligand,6.89,ki,15.85573138649083
3925,2iu0,2.53,2007,protein-ligand,,ki,15.85573138649083
3926,2oxd,2.3,2007,protein-ligand,6.82,ki,15.712630542850155
3927,2ot1,2.05,2007,protein-ligand,4.0,ki,9.210340371976182
3928,2oxx,2.3,2007,protein-ligand,6.7,ki,15.424948470398375
3929,2j4g,2.25,2007,protein-ligand,6.6,ki,15.201804919084164
3930,2e91,2.14,2007,protein-ligand,6.59,ki,15.162584205930884
3931,2jj3,2.28,2007,protein-ligand,,ki,21.996231512759298
3932,2pog,1.84,2007,protein-ligand,9.54,ki,21.96114019294803
3933,2nt7,2.1,2007,protein-ligand,6.52,ki,15.01948336229021
3934,2oxy,1.81,2007,protein-ligand,6.52,ki,15.01948336229021
3935,2oz5,2.0,2007,protein-ligand,,ki,14.924173182485886
3936,2j27,1.15,2007,protein-ligand,3.52,ki,8.111728083308073
3937,2v3e,2.0,2007,protein-ligand,,ki,15.01948336229021
3938,2p95,2.2,2007,protein-ligand,9.37,ki,21.56723590724094
3939,2z4b,2.34,2007,protein-ligand,,ki,21.54424638901624
3940,2op3,1.6,2007,protein-ligand,,ki,14.528860445841739
3941,2o4r,1.98,2007,protein-ligand,9.4,ki,21.639556568820566
3942,2g9q,2.5,2007,protein-ligand,,ki,14.73180128983843
3943,2o2u,2.45,2007,protein-ligand,,ki,14.73180128983843
3944,2qtu,2.53,2007,protein-ligand,,ki,21.35814410938238
3945,2ok1,2.4,2007,protein-ligand,,ki,14.413347558719895
3946,3bgz,2.4,2007,protein-ligand,6.26,ki,14.413347558719895
3947,2yxj,2.2,2007,protein-ligand,9.3,ki,21.416413017506358
3948,2oyl,1.8,2007,protein-ligand,,ki,14.508657738524219
3949,2v0n,2.71,2007,protein-ligand,,ki,14.508657738524219
3950,2p94,1.8,2007,protein-ligand,,ki,21.123743403543536
3951,2o7e,1.75,2007,protein-ligand,,ki,14.326336181730264
3952,2p2a,2.26,2007,protein-ligand,6.12,ki,14.103192630416055
3953,2z9g,1.86,2007,protein-ligand,,ki,14.172185501903007
3954,2flr,2.35,2007,protein-ligand,6.1,ki,14.038654109278484
3955,2ql9,2.14,2007,protein-ligand,,ki,20.785141240664498
3956,2q54,1.85,2007,protein-ligand,9.01,ki,20.74346854426393
3957,2hw2,1.45,2007,protein-ligand,,ki,6.840096630508322
3958,2on3,3.0,2007,protein-ligand,,ki,20.72326583694641
3959,2p4j,2.5,2007,protein-ligand,8.96,ki,20.627955657142085
3960,2onz,2.8,2007,protein-ligand,,ki,20.46090157247892
3961,2eg7,2.0,2007,protein-ligand,,ki,13.553146293496782
3962,2qlb,2.25,2007,protein-ligand,,ki,13.553146293496782
3963,2obf,2.3,2007,protein-ligand,,ki,20.3867936003252
3964,2qlf,2.8,2007,protein-ligand,,ki,20.3867936003252
3965,2oc7,2.7,2007,protein-ligand,,ki,13.479038321343062
3966,2pu1,1.8,2007,protein-ligand,5.85,ki,13.479038321343062
3967,2z94,1.78,2007,protein-ligand,5.85,ki,13.479038321343062
3968,2hvc,2.1,2007,protein-ligand,,ki,20.317800728838247
3969,2p93,1.9,2007,protein-ligand,,ki,20.317800728838247
3970,3b7i,1.75,2007,protein-ligand,5.82,ki,13.41004544985611
3971,2uz6,2.4,2007,protein-ligand,,ki,20.192637585884242
3972,2psx,2.3,2007,protein-ligand,,ki,13.284882306902103
3973,2opb,2.8,2007,protein-ligand,,ki,20.135479172044292
3974,2uz9,2.3,2007,protein-ligand,5.71,ki,13.142566084721848
3975,2i4x,1.55,2007,protein-ligand,11.72,ki,20.081411950774015
3976,2hob,1.95,2007,protein-ligand,,ki,13.17365667179188
3977,2qrl,1.6,2007,protein-ligand,4.0,ki,9.210340371976184
3978,3b3c,1.46,2007,protein-ligand,3.98,ki,9.161550207806751
3979,2hah,1.7,2007,protein-ligand,8.0,ki,18.420680743952367
3980,3b92,2.0,2007,protein-ligand,8.0,ki,18.420680743952367
3981,2oym,1.86,2007,protein-ligand,5.0,ki,11.512925464970229
3982,2qe4,2.4,2007,protein-ligand,7.96,ki,18.32537056414804
3983,2v3d,1.96,2007,protein-ligand,3.94,ki,9.06192036685791
3984,2oc9,2.59,2007,protein-ligand,,ki,18.32537056414804
3985,2p3a,1.75,2007,protein-ligand,7.96,ki,18.32537056414804
3986,2q15,2.4,2007,protein-ligand,,ki,18.32537056414804
3987,3bgq,2.0,2007,protein-ligand,7.96,ki,18.32537056414804
3988,2o9j,2.65,2007,protein-ligand,,ki,15.935774094164366
3989,2oa0,3.4,2007,protein-ligand,,ki,15.935774094164366
3990,2cem,1.8,2007,protein-ligand,,ki,18.238359187158412
3991,2ovv,2.0,2007,protein-ligand,7.92,ki,18.238359187158412
3992,2jnp,,2007,protein-ligand,,ki,15.85573138649083
3993,2ovz,2.0,2007,protein-ligand,,ki,18.158316479484874
3994,2fle,1.9,2007,protein-ligand,7.85,ki,18.08420850733115
3995,2oz7,1.8,2007,protein-ligand,,ki,18.08420850733115
3996,2p8o,1.5,2007,protein-ligand,,ki,11.176453228349015
3997,2uwp,1.75,2007,protein-ligand,6.81,ki,15.686313234532783
3998,2f9v,2.6,2007,protein-ligand,,ki,18.0152156358442
3999,2oc0,2.3,2007,protein-ligand,,ki,18.0152156358442
4000,2ptz,1.65,2007,protein-ligand,7.82,ki,18.0152156358442
4001,2pu0,1.9,2007,protein-ligand,,ki,18.0152156358442
4002,2jal,1.9,2007,protein-ligand,,ki,11.107460356862065
4003,2pwg,2.2,2007,protein-ligand,4.82,ki,11.107460356862065
4004,2nta,2.1,2007,protein-ligand,4.8,ki,11.042921835724492
4005,2on6,2.5,2007,protein-ligand,6.76,ki,15.575771360132958
4006,2iyf,1.7,2007,protein-ligand,,ki,8.637667344884111
4007,2g70,2.4,2007,protein-ligand,,ki,17.890052492890195
4008,2jh6,2.21,2007,protein-ligand,7.77,ki,17.890052492890195
4009,1vso,1.85,2007,protein-ligand,4.72,ki,10.872124764782493
4010,2p3d,2.8,2007,protein-ligand,,ki,15.5303089860562
4011,2e2p,2.0,2007,protein-ligand,4.74,ki,10.92513880006811
4012,2o1c,1.8,2007,protein-ligand,,ki,10.871071578797833
4013,2i4t,2.74,2007,protein-ligand,,ki,20.72326583694641
4014,2rcx,2.0,2007,protein-ligand,,ki,20.72326583694641
4015,2q55,1.9,2007,protein-ligand,8.69,ki,20.010316029090287
4016,2i4d,1.5,2007,protein-ligand,11.68,ki,19.981328492217035
4017,2oax,2.29,2007,protein-ligand,8.65,ki,19.920367792427346
4018,2op9,1.8,2007,protein-ligand,,ki,13.027053197600004
4019,2ojg,2.0,2007,protein-ligand,5.64,ki,12.98260143502917
4020,2cej,2.5,2007,protein-ligand,8.62,ki,19.847797099592512
4021,2i4w,1.55,2007,protein-ligand,11.59,ki,19.767754391918974
4022,2r5q,2.3,2007,protein-ligand,,ki,19.730014063936128
4023,2i4u,1.5,2007,protein-ligand,11.57,ki,19.730014063936128
4024,2np9,2.45,2007,protein-ligand,,ki,12.822258784953991
4025,2onb,2.7,2007,protein-ligand,,ki,12.822258784953991
4026,2itk,1.45,2007,protein-ligand,,ki,17.70773093609624
4027,2jew,1.4,2007,protein-ligand,6.69,ki,15.39538966815683
4028,2psj,1.8,2007,protein-ligand,,ki,17.72753356339242
4029,2fu8,1.8,2007,protein-ligand,4.7,ki,10.819778284410283
4030,2ony,2.6,2007,protein-ligand,,ki,15.376158306228943
4031,2za3,2.65,2007,protein-ligand,,ki,8.468403027246806
4032,2h15,1.9,2007,protein-ligand,5.67,ki,13.057043911283687
4033,2o9r,2.3,2007,protein-ligand,,ki,3.863232841258714
4034,2uy4,1.75,2007,protein-ligand,4.68,ki,10.770988120240851
4035,2hl4,1.55,2007,protein-ligand,7.64,ki,17.58777162101726
4036,2z3h,1.5,2007,protein-ligand,,ki,10.680016342035124
4037,2it4,2.0,2007,protein-ligand,,ki,3.7255434384855275
4038,2vfz,2.4,2007,protein-ligand,,ki,8.314252347419547
4039,2p3c,2.1,2007,protein-ligand,7.62,ki,17.545212006598465
4040,2psu,1.93,2007,protein-ligand,7.62,ki,17.545212006598465
4041,2ihj,2.0,2007,protein-ligand,4.59,ki,10.5690195660631
4042,3b3x,2.5,2007,protein-ligand,3.6,ki,8.294049640102028
4043,2gvf,2.5,2007,protein-ligand,,ki,17.50439001207821
4044,2o8h,1.8,2007,protein-ligand,7.6,ki,17.50439001207821
4045,2q80,2.7,2007,protein-ligand,,ki,10.596634733096073
4046,2jiw,1.95,2007,protein-ligand,4.59,ki,10.557414019942792
4047,2r9b,2.8,2007,protein-ligand,,ki,15.12114701606671
4048,3b3s,1.18,2007,protein-ligand,2.55,ki,5.8781358618009785
4049,2oi0,2.0,2007,protein-ligand,7.55,ki,17.391061326771208
4050,2v96,2.4,2007,protein-ligand,,ki,10.4482147279778
4051,2jh0,1.7,2007,protein-ligand,8.7,ki,20.030118656386467
4052,2nnq,1.8,2007,protein-ligand,,ki,20.030118656386467
4053,2oaz,1.9,2007,protein-ligand,,ki,20.030118656386467
4054,2ojj,2.4,2007,protein-ligand,8.7,ki,20.030118656386467
4055,2uwo,1.75,2007,protein-ligand,8.7,ki,20.030118656386467
4056,2oqi,2.8,2007,protein-ligand,,ki,19.56011502714073
4057,2o0u,2.1,2007,protein-ligand,5.49,ki,12.652359748158593
4058,2uy5,1.6,2007,protein-ligand,5.49,ki,12.652359748158593
4059,2p3b,2.1,2007,protein-ligand,8.48,ki,19.529343368473977
4060,2r5p,2.3,2007,protein-ligand,8.48,ki,19.529343368473977
4061,2oag,2.3,2007,protein-ligand,8.47,ki,19.499490405324295
4062,2i2b,2.1,2007,protein-ligand,,ki,5.626821433520073
4063,2ima,1.94,2007,protein-ligand,,ki,15.01948336229021
4064,2o4h,2.7,2007,protein-ligand,,ki,15.01948336229021
4065,2eg8,2.2,2007,protein-ligand,,ki,10.356044268178143
4066,2g72,2.0,2007,protein-ligand,,ki,14.970693198120777
4067,2cfd,1.6,2007,protein-ligand,,ki,17.257529934146685
4068,2hhn,1.55,2007,protein-ligand,7.49,ki,17.257529934146685
4069,2r2w,2.01,2007,protein-ligand,4.47,ki,10.289150033348113
4070,2g71,2.2,2007,protein-ligand,,ki,17.167917775457
4071,2p53,2.1,2007,protein-ligand,7.46,ki,17.167917775457
4072,2jh5,2.5,2007,protein-ligand,6.44,ki,14.81790398889184
4073,2cfg,1.55,2007,protein-ligand,,ki,17.1397468984903
4074,2oxn,1.7,2007,protein-ligand,7.44,ki,17.1397468984903
4075,2i72,2.2,2007,protein-ligand,,ki,17.11234792430219
4076,2pou,1.6,2007,protein-ligand,7.42,ki,17.085679677220025
4077,2oc2,2.25,2007,protein-ligand,8.52,ki,19.624653548278303
4078,2qu6,2.1,2007,protein-ligand,8.52,ki,19.624653548278303
4079,2nnk,1.25,2007,protein-ligand,,ki,19.264650814246895
4080,2nnp,1.2,2007,protein-ligand,,ki,19.264650814246895
4081,2nmy,1.1,2007,protein-ligand,,ki,19.264650814246895
4082,2nmz,0.97,2007,protein-ligand,8.37,ki,19.264650814246895
4083,2glm,2.6,2007,protein-ligand,,ki,12.356895535264757
4084,2oc1,2.7,2007,protein-ligand,,ki,12.356895535264757
4085,2qlj,2.6,2007,protein-ligand,,ki,12.333906017040059
4086,2gkl,1.86,2007,protein-ligand,5.35,ki,12.311433161188
4087,2j62,2.26,2007,protein-ligand,11.34,ki,19.19720953345136
4088,2pwd,1.8,2007,protein-ligand,4.4,ki,10.126631103850338
4089,2j95,2.01,2007,protein-ligand,8.4,ki,19.33697147582652
4090,2ovy,1.8,2007,protein-ligand,8.4,ki,19.33697147582652
4091,2oqv,2.8,2007,protein-ligand,,ki,19.33697147582652
4092,2uwl,1.9,2007,protein-ligand,8.4,ki,19.33697147582652
4093,2pbw,2.5,2007,protein-ligand,8.25,ki,19.00766772868392
4094,2qft,1.55,2007,protein-ligand,,ki,12.110762465725848
4095,2jfz,1.86,2007,protein-ligand,5.24,ki,12.0576526404119
4096,2nwn,2.15,2007,protein-ligand,,ki,14.508657738524219
4097,2uxx,2.74,2007,protein-ligand,,ki,7.600902459542082
4098,2j94,2.1,2007,protein-ligand,6.27,ki,14.442869997986216
4099,2ql7,2.4,2007,protein-ligand,,ki,14.413347558719895
4100,2qzr,1.95,2007,protein-ligand,7.26,ki,16.715932651713942
4101,2qrk,1.75,2007,protein-ligand,4.26,ki,9.808177372731803
4102,2o4z,2.1,2007,protein-ligand,6.25,ki,14.384671758743227
4103,2obo,2.6,2007,protein-ligand,,ki,16.68021456911186
4104,2psv,1.75,2007,protein-ligand,7.24,ki,16.662822826399992
4105,2q38,1.95,2007,protein-ligand,5.23,ki,12.032119338406735
4106,2cen,1.7,2007,protein-ligand,8.3,ki,19.11382792451231
4107,2q5k,1.95,2007,protein-ligand,11.3,ki,19.11382792451231
4108,2oyk,1.5,2007,protein-ligand,,ki,12.206072645530174
4109,2jds,2.0,2007,protein-ligand,8.2,ki,18.882716203548924
4110,2jdv,2.08,2007,protein-ligand,,ki,18.882716203548924
4111,2i4v,1.5,2007,protein-ligand,11.2,ki,18.882716203548924
4112,2qdt,2.0,2007,protein-ligand,5.19,ki,11.943708381062683
4113,2uy3,1.9,2007,protein-ligand,3.22,ki,7.418580902748128
4114,2h6t,1.9,2007,protein-ligand,7.22,ki,16.62892127472431
4115,2q3z,2.0,2007,protein-ligand,,ki,16.62892127472431
4116,2pow,1.75,2007,protein-ligand,7.2,ki,16.580131110554877
4117,3b3w,1.75,2007,protein-ligand,4.19,ki,9.641123288068638
4118,2qfu,1.6,2007,protein-ligand,,ki,9.625855815937848
4119,2o22,,2007,protein-ligand,,ki,16.518573217555446
4120,2v2q,2.3,2007,protein-ligand,4.15,ki,9.550017739546345
4121,2pov,1.6,2007,protein-ligand,7.12,ki,16.4057777234101
4122,2q1q,1.9,2007,protein-ligand,8.15,ki,18.7773556878911
4123,2q70,1.95,2007,protein-ligand,,ki,18.607010322143857
4124,2qu5,2.95,2007,protein-ligand,,ki,18.55994281128587
4125,2z1w,1.63,2007,protein-ligand,4.08,ki,9.396669950167675
4126,2v2v,2.4,2007,protein-ligand,4.07,ki,9.363491551470357
4127,2oc4,2.59,2007,protein-ligand,,ki,16.268918540692905
4128,2oji,2.6,2007,protein-ligand,,ki,16.268918540692905
4129,2jfh,1.97,2007,protein-ligand,,ki,7.047017346315645
4130,2ql5,2.34,2007,protein-ligand,,ki,18.643824295266576
4131,2glp,2.42,2007,protein-ligand,5.01,ki,11.543384672454938
4132,2q11,2.4,2007,protein-ligand,,ki,13.9208710736221
4133,2q8m,2.05,2007,protein-ligand,4.03,ki,9.27221577569427
4134,2jld,2.35,2008,protein-ligand,,ic50,23.942141661814613
4135,3bea,2.02,2008,protein-ligand,,ic50,18.7773556878911
4136,2ow7,1.77,2008,protein-ligand,,ic50,11.176453228349015
4137,3bel,2.3,2008,protein-ligand,,ic50,18.08420850733115
4138,2vv9,1.9,2008,protein-ligand,,ic50,17.890052492890195
4139,2vcx,2.1,2008,protein-ligand,,ic50,17.678743399222988
4140,3ctj,2.5,2008,protein-ligand,,ic50,17.167917775457
4141,3cst,3.2,2008,protein-ligand,,ic50,17.059704190816763
4142,3d4q,2.8,2008,protein-ligand,,ic50,24.229823734266393
4143,2r64,2.3,2008,protein-ligand,,ic50,17.322068455284256
4144,2rgp,2.0,2008,protein-ligand,,ic50,17.322068455284256
4145,2w3l,2.1,2008,protein-ligand,,ic50,17.322068455284256
4146,3bmy,1.6,2008,protein-ligand,,ic50,17.322068455284256
4147,3c1x,2.17,2008,protein-ligand,,ic50,16.916603347176093
4148,3cp9,2.5,2008,protein-ligand,,ic50,16.85206482603852
4149,2rc9,1.96,2008,protein-ligand,,ic50,17.034386382832476
4150,2vwx,1.65,2008,protein-ligand,,ic50,17.034386382832476
4151,3dog,2.7,2008,protein-ligand,,ic50,17.034386382832476
4152,3br9,2.3,2008,protein-ligand,,ic50,16.596131451901318
4153,3d7h,1.55,2008,protein-ligand,,ic50,23.536676553706446
4154,2r7b,2.7,2008,protein-ligand,,ic50,16.62892127472431
4155,3ddp,2.7,2008,protein-ligand,,ic50,16.446599717930354
4156,2vwy,1.65,2008,protein-ligand,,ic50,16.223456166616145
4157,2z7i,2.1,2008,protein-ligand,,ic50,16.11809565095832
4158,3dct,2.5,2008,protein-ligand,,ic50,16.004766965651317
4159,3bjc,2.0,2008,protein-ligand,,ic50,16.022785471153995
4160,3cth,2.3,2008,protein-ligand,,ic50,16.022785471153995
4161,3bi1,1.5,2008,protein-ligand,,ic50,22.843529373146502
4162,3cwe,1.6,2008,protein-ligand,,ic50,15.935774094164366
4163,3ej1,3.22,2008,protein-ligand,,ic50,15.935774094164366
4164,2vd1,2.25,2008,protein-ligand,,ic50,15.796012151789206
4165,3f5p,2.9,2008,protein-ligand,,ic50,15.781623414337107
4166,2vgp,1.7,2008,protein-ligand,,ic50,15.781623414337107
4167,3e7b,1.7,2008,protein-ligand,,ic50,22.555847300694722
4168,2q8s,2.3,2008,protein-ligand,,ic50,15.502910011868087
4169,3bm9,1.6,2008,protein-ligand,,ic50,15.476241764785925
4170,3e7a,1.63,2008,protein-ligand,,ic50,23.025850929940457
4171,2qc6,1.85,2008,protein-ligand,,ic50,16.11809565095832
4172,3di6,2.65,2008,protein-ligand,,ic50,16.11809565095832
4173,3c45,2.05,2008,protein-ligand,,ic50,22.283913585211078
4174,3ddq,1.8,2008,protein-ligand,,ic50,15.376158306228943
4175,2vx1,1.65,2008,protein-ligand,,ic50,15.32963829059405
4176,3eoc,3.2,2008,protein-ligand,,ic50,15.285186528023216
4177,2vww,1.9,2008,protein-ligand,,ic50,15.24262691360442
4178,3drp,2.6,2008,protein-ligand,,ic50,22.33270374938051
4179,2vwu,2.0,2008,protein-ligand,,ic50,14.865332682462952
4180,2jdl,2.2,2008,protein-ligand,,ic50,21.71751811029028
4181,2q94,1.63,2008,protein-ligand,,ic50,14.809762831308142
4182,2z7r,2.0,2008,protein-ligand,,ic50,21.927238641272346
4183,2rc8,1.45,2008,protein-ligand,,ic50,15.01948336229021
4184,3c10,2.0,2008,protein-ligand,,ic50,15.01948336229021
4185,3bv2,2.4,2008,protein-ligand,,ic50,21.54424638901624
4186,3eid,3.15,2008,protein-ligand,,ic50,14.614018254182046
4187,3bv3,2.59,2008,protein-ligand,,ic50,21.499794626445407
4188,3el7,2.8,2008,protein-ligand,,ic50,14.549479733044475
4189,3e2m,2.0,2008,protein-ligand,,ic50,21.639556568820566
4190,3drr,2.89,2008,protein-ligand,,ic50,21.639556568820566
4191,2q93,1.6,2008,protein-ligand,,ic50,14.395329053217216
4192,2qyn,1.57,2008,protein-ligand,,ic50,14.377629476117816
4193,2vx0,2.1,2008,protein-ligand,,ic50,14.360237733405945
4194,2qu3,2.0,2008,protein-ligand,,ic50,14.343143300046647
4195,3b8q,2.75,2008,protein-ligand,,ic50,21.416413017506358
4196,3bys,2.2,2008,protein-ligand,,ic50,21.416413017506358
4197,3d7f,1.54,2008,protein-ligand,,ic50,21.416413017506358
4198,3drs,3.15,2008,protein-ligand,,ic50,21.416413017506358
4199,2w4i,1.87,2008,protein-ligand,,ic50,14.508657738524219
4200,2qyl,1.95,2008,protein-ligand,,ic50,14.246293474056728
4201,3dwb,2.38,2008,protein-ligand,,ic50,14.246293474056728
4202,3b8r,2.7,2008,protein-ligand,,ic50,21.234091460712403
4203,2ze1,2.2,2008,protein-ligand,,ic50,14.326336181730264
4204,2z4y,2.1,2008,protein-ligand,,ic50,14.15800086691105
4205,3db6,2.85,2008,protein-ligand,,ic50,14.130221302803974
4206,2z78,2.1,2008,protein-ligand,,ic50,14.089947403666034
4207,2vwz,1.65,2008,protein-ligand,,ic50,14.046182375699276
4208,3bhx,1.6,2008,protein-ligand,,ic50,21.079940780885142
4209,2zdz,2.0,2008,protein-ligand,,ic50,14.172185501903007
4210,3byu,2.3,2008,protein-ligand,,ic50,20.94640938826062
4211,3ds6,2.9,2008,protein-ligand,,ic50,20.94640938826062
4212,2vcq,1.95,2008,protein-ligand,,ic50,13.898892166903325
4213,2z4w,2.45,2008,protein-ligand,,ic50,13.835713265281793
4214,2qa8,1.85,2008,protein-ligand,,ic50,13.825560893817775
4215,3f66,1.4,2008,protein-ligand,,ic50,13.9208710736221
4216,2q92,1.9,2008,protein-ligand,,ic50,13.72020037815995
4217,2q96,1.6,2008,protein-ligand,,ic50,13.633189001170319
4218,3c6u,2.7,2008,protein-ligand,,ic50,20.42316124449607
4219,2viq,2.0,2008,protein-ligand,,ic50,13.553146293496782
4220,3bg8,1.6,2008,protein-ligand,,ic50,13.553146293496782
4221,2rib,1.8,2008,protein-ligand,,ic50,6.502290170873972
4222,2r4f,1.7,2008,protein-ligand,,ic50,20.317800728838247
4223,3bz3,2.2,2008,protein-ligand,,ic50,20.317800728838247
4224,2vtr,1.9,2008,protein-ligand,,ic50,13.41004544985611
4225,3bet,1.85,2008,protein-ligand,,ic50,13.41004544985611
4226,3dpd,2.85,2008,protein-ligand,,ic50,13.308692955595822
4227,2vcg,1.9,2008,protein-ligand,,ic50,13.290782029029293
4228,2q95,1.7,2008,protein-ligand,,ic50,13.345506928718539
4229,3e63,1.9,2008,protein-ligand,,ic50,13.345506928718539
4230,3cs8,2.3,2008,protein-ligand,,ic50,13.284882306902103
4231,2z4z,2.09,2008,protein-ligand,,ic50,13.194934070239164
4232,3ce3,2.4,2008,protein-ligand,,ic50,20.135479172044292
4233,2viy,1.82,2008,protein-ligand,,ic50,13.227723893062155
4234,2pjc,1.74,2008,protein-ligand,,ic50,20.081411950774015
4235,2vtj,2.2,2008,protein-ligand,,ic50,13.17365667179188
4236,3c4f,2.07,2008,protein-ligand,,ic50,13.17365667179188
4237,2r3k,1.7,2008,protein-ligand,,ic50,16.11809565095832
4238,2r3l,1.65,2008,protein-ligand,,ic50,16.11809565095832
4239,3c4e,1.98,2008,protein-ligand,,ic50,9.210340371976184
4240,2uup,1.88,2008,protein-ligand,,ic50,9.161550207806751
4241,2r3j,1.65,2008,protein-ligand,,ic50,18.420680743952367
4242,2r3m,1.7,2008,protein-ligand,,ic50,18.420680743952367
4243,3dej,2.6,2008,protein-ligand,,ic50,18.420680743952367
4244,3fc1,2.4,2008,protein-ligand,,ic50,18.420680743952367
4245,2z50,2.01,2008,protein-ligand,,ic50,11.397812657869723
4246,3bh8,1.65,2008,protein-ligand,,ic50,18.307352058645364
4247,3bpr,2.8,2008,protein-ligand,,ic50,11.39070783224598
4248,2rjr,2.1,2008,protein-ligand,,ic50,4.456750180869818
4249,2vd0,2.2,2008,protein-ligand,,ic50,11.364505459851955
4250,3c0z,2.1,2008,protein-ligand,,ic50,9.088122739251933
4251,3bh9,1.7,2008,protein-ligand,,ic50,15.96194696846839
4252,2zva,2.6,2008,protein-ligand,,ic50,18.32537056414804
4253,2pks,2.5,2008,protein-ligand,,ic50,11.417615285165903
4254,3ccn,1.9,2008,protein-ligand,,ic50,15.935774094164366
4255,3e7o,2.14,2008,protein-ligand,,ic50,15.935774094164366
4256,2vth,1.9,2008,protein-ligand,,ic50,9.028018815182229
4257,2vte,2.2,2008,protein-ligand,,ic50,9.011489513231018
4258,3dy6,2.9,2008,protein-ligand,,ic50,15.886983929994933
4259,2pj9,1.56,2008,protein-ligand,,ic50,18.238359187158412
4260,2pj2,1.95,2008,protein-ligand,,ic50,18.238359187158412
4261,3chd,2.0,2008,protein-ligand,,ic50,11.330603908176274
4262,2zas,2.0,2008,protein-ligand,,ic50,18.091376996809764
4263,3dda,1.5,2008,protein-ligand,,ic50,8.92516142974252
4264,2onc,2.55,2008,protein-ligand,,ic50,18.158316479484874
4265,2pj4,2.0,2008,protein-ligand,,ic50,18.158316479484874
4266,2vj6,1.8,2008,protein-ligand,,ic50,18.158316479484874
4267,2vto,2.19,2008,protein-ligand,,ic50,15.781623414337107
4268,2vtq,1.9,2008,protein-ligand,,ic50,15.781623414337107
4269,3deh,2.5,2008,protein-ligand,,ic50,15.719319531000952
4270,3bi0,1.67,2008,protein-ligand,,ic50,18.08420850733115
4271,3cib,1.72,2008,protein-ligand,,ic50,18.08420850733115
4272,3d7d,1.69,2008,protein-ligand,,ic50,18.08420850733115
4273,3ehw,1.8,2008,protein-ligand,,ic50,11.094215130112044
4274,3cqu,2.2,2008,protein-ligand,,ic50,15.705986000131487
4275,3eqb,2.62,2008,protein-ligand,,ic50,4.199705077879927
4276,2pj5,1.65,2008,protein-ligand,,ic50,18.0152156358442
4277,3c4c,2.57,2008,protein-ligand,,ic50,15.648092021712584
4278,2vo7,1.98,2008,protein-ligand,,ic50,15.599301857543152
4279,2ea2,2.5,2008,protein-ligand,,ic50,17.95067711470663
4280,2vwv,1.9,2008,protein-ligand,,ic50,11.042921835724492
4281,2jkm,2.31,2008,protein-ligand,,ic50,17.846317099382386
4282,2piz,1.6,2008,protein-ligand,,ic50,15.58746739989615
4283,2uuo,2.5,2008,protein-ligand,,ic50,8.679712120914012
4284,2pj7,1.77,2008,protein-ligand,,ic50,17.890052492890195
4285,3chs,2.55,2008,protein-ligand,,ic50,17.890052492890195
4286,3d7g,1.75,2008,protein-ligand,,ic50,17.890052492890195
4287,2qn1,2.4,2008,protein-ligand,,ic50,10.982297213908058
4288,2ph8,1.7,2008,protein-ligand,,ic50,13.227723893062155
4289,2vj9,1.6,2008,protein-ligand,,ic50,15.5303089860562
4290,2vta,2.0,2008,protein-ligand,,ic50,8.59515473288595
4291,2pj8,1.7,2008,protein-ligand,,ic50,17.832894079050245
4292,2vd4,1.9,2008,protein-ligand,,ic50,10.92513880006811
4293,2pjb,1.7,2008,protein-ligand,,ic50,17.778826857779972
4294,2zjf,2.4,2008,protein-ligand,,ic50,17.778826857779972
4295,3c43,2.3,2008,protein-ligand,,ic50,17.778826857779972
4296,2vin,1.9,2008,protein-ligand,,ic50,6.907755278982137
4297,2vtm,2.25,2008,protein-ligand,,ic50,6.907755278982137
4298,2r2l,2.23,2008,protein-ligand,,ic50,20.72326583694641
4299,2w05,1.9,2008,protein-ligand,,ic50,20.72326583694641
4300,2qh6,2.7,2008,protein-ligand,,ic50,13.815510557964274
4301,2r3i,1.28,2008,protein-ligand,,ic50,13.815510557964274
4302,3f69,2.8,2008,protein-ligand,,ic50,13.815510557964274
4303,2k31,,2008,protein-ligand,,ic50,20.030118656386467
4304,3c6t,2.7,2008,protein-ligand,,ic50,19.976577889458436
